Event,Site_ID,Species,ShortName,Kingdom,DivisionPhylum,Count,Cell_biovol_u3,Cells_cm2,Biovolume_u3_cm2,Biovolume_mm3_m2
2,FLIN2,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,15,503,182.1623006,91627.63722,0.916276372
7,SPRG2,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,11,503,116.0932,58394.87958,0.583948796
2,FLIN1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,85,503,2333.223767,1173611.555,11.73611555
7,ILLI3,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,7,503,231.1302976,116258.5397,1.162585397
9,ILLI3,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,191,503,1841.608447,926329.0487,9.263290487
7,ILLI6,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,13,503,482.7573904,242826.9674,2.428269674
7,FLIN3,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,16,503,77.66592771,39065.96164,0.390659616
8,ILLI2,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,210,503,1424.635105,716591.4581,7.165914581
12,LSAL1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,19,503,233.8659623,117634.579,1.17634579
4,GOOS1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,248,503,4406.271358,2216354.493,22.16354493
4,ILLI2,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,1496,503,95177.04808,47874055.18,478.7405518
4,ILLI4,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,63,503,2647.65053,1331768.216,13.31768216
4,ILLI5,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,7,503,482.9743168,242936.0814,2.429360814
4,ILLI6,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,49,503,666.402398,335200.4062,3.352004062
4,ILLI7,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,180,503,4358.833129,2192493.064,21.92493064
4,LLEE1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,55,503,670.8618456,337443.5083,3.374435083
4,LSAL1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,607,503,12153.19795,6113058.568,61.13058568
4,OSAG1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,23,503,255.4339615,128483.2826,1.284832826
4,OSAG2,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,27,503,754.8433739,379686.2171,3.796862171
4,SPAV2,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,26,503,539.9263534,271582.9558,2.715829558
4,FLIN2,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,337,503,6107.388981,3072016.658,30.72016658
4,SPRG2,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,17,503,441.8071869,222229.015,2.22229015
4,FLIN1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,457,503,16016.71595,8056408.123,80.56408123
5,LSAL1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,145,503,4981.818176,2505854.543,25.05854543
5,GOOS1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,50,503,2858.422174,1437786.353,14.37786353
12,FLIN1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,13,503,404.2185588,203321.9351,2.033219351
12,COVE1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,20,503,492.2555017,247604.5173,2.476045173
5,LLEE1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,122,503,810.0983473,407479.4687,4.074794687
9,FLIN1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,56,503,644.1165633,323990.6314,3.239906314
5,BALL1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,77,503,2969.192351,1493503.753,14.93503753
9,OSAG2,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,43,503,542.111685,272682.1776,2.726821776
9,BALL1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,58,503,517.2604276,260181.9951,2.601819951
5,ILLI2,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,262,503,15282.00559,7686848.812,76.86848812
2,ILLI8,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,10,503,144.3712826,72618.75516,0.726187552
5,ILLI3,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,8,503,772.5457754,388590.525,3.88590525
4,SPRG1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,375,503,13272.4891,6676062.019,66.76062019
12,FLIN2,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,387,503,5140.087138,2585463.83,25.8546383
5,CANE1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,76,503,604.9254379,304277.4952,3.042774952
5,FLIN1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,51,503,1425.865913,717210.5542,7.172105542
9,BARR4,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,31,503,406.4089609,204423.7073,2.044237073
12,LLEE1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,221,503,2118.382484,1065546.389,10.65546389
12,ILLI3,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,60,503,1080.667328,543575.6662,5.435756662
12,ILLI2,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,461,503,7221.812064,3632571.468,36.32571468
12,GOOS1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,82,503,1791.765955,901258.2754,9.012582754
12,FLIN3,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,73,503,1569.684775,789551.4419,7.895514419
2,SPRG3,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,80,503,2136.875311,1074848.281,10.74848281
8,SAGE1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,400,503,2138.896114,1075864.745,10.75864745
5,BEAT1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,184,503,2265.99678,1139796.38,11.3979638
5,FLIN2,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,73,503,3151.248459,1585077.975,15.85077975
4,FLIN3,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,342,503,4155.806726,2090370.783,20.90370783
9,LSAL1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,5,503,246.8521618,124166.6374,1.241666374
9,ILLI7,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,22,503,202.9129261,102065.2018,1.020652018
8,ILLI4,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,85,503,1178.277081,592673.3715,5.926733715
5,OSAG1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,275,503,3734.685544,1878546.829,18.78546829
5,FLIN3,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,27,503,286.4437582,144081.2104,1.440812104
5,BARR1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,11,503,467.3288289,235066.4009,2.350664009
9,BEAT1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,20,503,129.2637214,65019.65186,0.650196519
5,BARR3,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,28,503,385.8090329,194061.9435,1.940619435
8,FLIN1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,119,503,1036.234167,521225.7857,5.212257857
4,BALL1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,167,503,2729.261014,1372818.29,13.7281829
4,BARR1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,251,503,3684.61848,1853363.096,18.53363096
4,BARR3,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,238,503,3453.671882,1737196.956,17.37196956
4,BARR4,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,20,503,696.2199031,350198.6113,3.501986113
4,BEAT1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,10,503,100.100895,50350.75017,0.503507502
8,FLIN3,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,206,503,1234.60211,621004.8612,6.210048612
6,ILLI2,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,546,503,20987.21571,10556569.5,105.565695
3,ILLI3,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,255,503,9022.013365,4538072.722,45.38072722
3,ILLI4,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,90,503,5235.505687,2633459.36,26.3345936
6,ILLI4,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,16,503,515.5098301,259301.4445,2.593014445
6,ILLI4,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,145,503,4671.807835,2349919.341,23.49919341
3,ILLI5,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,15,503,651.8930032,327902.1806,3.279021806
6,ILLI5,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,21,503,336.2784487,169148.0597,1.691480597
3,ILLI6,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,153,503,4529.38211,2278279.201,22.78279201
3,ILLI7,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,15,503,461.8352541,232303.1328,2.323031328
3,ILLI8,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,57,503,395.0532559,198711.7877,1.987117877
6,ILLI8,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,24,503,160.8663774,80915.78781,0.809157878
6,LLEE1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,30,503,284.1143035,142909.4947,1.429094947
6,SPRG1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,91,503,2005.654073,1008843.999,10.08843999
6,LSAL1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,38,503,384.5567482,193432.0444,1.934320444
3,GOOS1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,9,503,183.5591675,92330.26123,0.923302612
6,OSAG1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,355,503,6409.48183,3223969.361,32.23969361
3,OSAG2,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,58,503,2246.511963,1129995.517,11.29995517
6,OSAG2,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,409,503,17216.09616,8659696.37,86.5969637
3,SAGE1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,3,503,150.2615133,75581.5412,0.755815412
6,SAGE1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,313,503,11750.44035,5910471.495,59.10471495
3,SALI1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,7,503,93.23495747,46897.18361,0.468971836
3,SPAR1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,7,503,110.1838845,55422.49391,0.554224939
6,SPAR1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,180,503,2256.681914,1135111.003,11.35111003
6,SPAV1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,19,503,323.0749593,162506.7045,1.625067045
3,SPAV2,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,30,503,998.1627506,502075.8636,5.020758636
6,SPAV2,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,42,503,407.1544123,204798.6694,2.047986694
3,SPRG1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,103,503,2030.191016,1021186.081,10.21186081
3,LSAL1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,43,503,1154.850587,580889.845,5.80889845
1,ILLI4,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,22,503,445.370963,224021.5944,2.240215944
1,SAGE1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,8,503,175.2085987,88129.92513,0.881299251
1,OSAG2,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,4,503,84.09282091,42298.68892,0.422986889
11,SAGE1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,113,503,1674.842179,842445.6158,8.424456158
11,ILLI8,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,5,503,35.37268789,17792.46201,0.17792462
11,ILLI5,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,9,503,259.073691,130314.0666,1.303140666
11,ILLI4,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,37,503,345.5148906,173793.99,1.7379399
11,FLIN3,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,136,503,1400.485135,704444.0227,7.044440227
11,FLIN2,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,7,503,97.32225549,48953.09451,0.489530945
1,LSAL1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,55,503,936.4719635,471045.3977,4.710453977
1,SPRG1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,104,503,1517.107398,763105.021,7.63105021
1,ILLI8,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,172,503,3758.81841,1890685.66,18.9068566
3,ILLI2,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,40,503,70035.76285,35227988.72,352.2798872
1,FLIN2,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,69,503,820.0286226,412474.3972,4.124743972
6,GOOS1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,70,503,3014.227161,1516156.262,15.16156262
6,BALL1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,34,503,918.4653471,461988.0696,4.619880696
6,BARR1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,121,503,2580.094319,1297787.442,12.97787442
6,BARR2,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,121,503,2945.813034,1481743.956,14.81743956
3,BARR3,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,45,503,676.816099,340438.4978,3.404384978
6,BARR4,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,21,503,557.7830306,280564.8644,2.805648644
3,BEAT1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,47,503,1491.687946,750319.0369,7.503190369
6,BEAT1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,14,503,100.7080249,50656.1365,0.506561365
6,EVAN1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,24,503,718.1426566,361225.7563,3.612257563
3,FLIN1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,253,503,10171.30704,5116167.439,51.16167439
6,FLIN1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,52,503,1788.748235,899740.3621,8.997403621
6,FLIN2,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,89,503,1183.845584,595474.3285,5.954743285
6,FLIN3,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,55,503,482.630079,242762.9297,2.427629297
1,ILLI6,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,27,503,500.9657731,251985.7838,2.519857838
3,SPRG3,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,50,503,754.104861,379314.7451,3.793147451
6,SPRG3,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,41,503,1288.61883,648175.2717,6.481752717
3,SPRG2,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,30,503,713.2828959,358781.2967,3.587812967
3,FLIN2,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,55,503,847.3040623,426193.9433,4.261939433
1,ILLI2,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,271,503,6213.613965,3125447.824,31.25447824
5,SPRG1,Batrachospermum sp.,BATROCHO,Plantae,Rhodophyta,12,290,416.5167497,120789.8574,1.207898574
5,FLIN2,Batrachospermum sp.,BATROCHO,Plantae,Rhodophyta,22,290,949.6913163,275410.4817,2.754104817
5,SPRG3,Batrachospermum sp.,BATROCHO,Plantae,Rhodophyta,8,290,352.2374679,102148.8657,1.021488657
6,BALL1,Batrachospermum sp.,BATROCHO,Plantae,Rhodophyta,1579,290,42654.61127,12369837.27,123.6983727
6,LSAL1,Batrachospermum sp.,BATROCHO,Plantae,Rhodophyta,105,290,1062.591015,308151.3943,3.081513943
4,LEE1,Bulbochaete sp.,BULBOCHA,Plantae,Chlorophyta,5,2036,88.32187124,179823.3298,1.798233298
2,COVE1,Bulbochaete sp.,BULBOCHA,Plantae,Chlorophyta,7,2036,81.50975812,165953.8675,1.659538675
8,LEE1,Bulbochaete sp.,BULBOCHA,Plantae,Chlorophyta,146,2036,3531.793732,7190732.039,71.90732039
8,MTFK1,Bulbochaete sp.,BULBOCHA,Plantae,Chlorophyta,25,2036,333.4764275,678958.0064,6.789580064
2,LLEE1,Bulbochaete sp.,BULBOCHA,Plantae,Chlorophyta,8,2036,171.1734711,348509.1872,3.485091872
1,LEE1,Bulbochaete sp.,BULBOCHA,Plantae,Chlorophyta,26,2036,833.3797126,1696761.095,16.96761095
3,ILLI2,Bulbochaete sp.,BULBOCHA,Plantae,Chlorophyta,4,2036,100.1713435,203948.8554,2.039488554
3,LLEE1,Bulbochaete sp.,BULBOCHA,Plantae,Chlorophyta,8,2036,128.1398254,260892.6844,2.608926844
9,SALI1,Calothrix fusca,CALOfusc,Bacteria,Cyanophycota,88,10169,1435.475758,14597352.98,145.9735298
9,BARR4,Calothrix fusca,CALOfusc,Bacteria,Cyanophycota,135,10169,1769.845475,17997558.63,179.9755863
9,LSAL1,Calothrix fusca,CALOfusc,Bacteria,Cyanophycota,94,10169,4640.820642,47192505.11,471.9250511
9,BEAT1,Calothrix fusca,CALOfusc,Bacteria,Cyanophycota,79,10169,510.5916995,5192206.992,51.92206992
9,OSAG1,Calothrix fusca,CALOfusc,Bacteria,Cyanophycota,37,10169,371.09685,3773683.868,37.73683868
9,FLIN1,Calothrix fusca,CALOfusc,Bacteria,Cyanophycota,32,10169,368.0666076,3742869.333,37.42869333
2,LEE1,Calothrix fusca,CALOfusc,Bacteria,Cyanophycota,695,10169,13705.88738,139375168.7,1393.751687
9,BALL1,Calothrix fusca,CALOfusc,Bacteria,Cyanophycota,72,10169,642.1163928,6529681.599,65.29681599
2,ILLI8,Calothrix fusca,CALOfusc,Bacteria,Cyanophycota,96,10169,1385.964313,14093871.1,140.938711
9,ILLI8,Calothrix fusca,CALOfusc,Bacteria,Cyanophycota,159,10169,1478.820728,15038127.99,150.3812799
9,COVE1,Calothrix fusca,CALOfusc,Bacteria,Cyanophycota,386,10169,4111.12114,41805990.87,418.0599087
2,ILLI7,Calothrix fusca,CALOfusc,Bacteria,Cyanophycota,197,10169,2595.354088,26392155.72,263.9215572
9,ILLI1,Calothrix fusca,CALOfusc,Bacteria,Cyanophycota,148,10169,1300.81772,13228015.4,132.280154
9,SPRG1,Calothrix fusca,CALOfusc,Bacteria,Cyanophycota,4,10169,66.81067488,679397.7528,6.793977528
9,BARR2,Calothrix fusca,CALOfusc,Bacteria,Cyanophycota,50,10169,492.2441833,5005631.1,50.056311
9,BARR1,Calothrix fusca,CALOfusc,Bacteria,Cyanophycota,32,10169,431.8973968,4391964.628,43.91964628
9,SPRG3,Calothrix fusca,CALOfusc,Bacteria,Cyanophycota,96,10169,3218.694079,32730900.09,327.3090009
9,FLIN2,Calothrix fusca,CALOfusc,Bacteria,Cyanophycota,29,10169,540.7635817,5499024.862,54.99024862
2,SAGE1,Calothrix fusca,CALOfusc,Bacteria,Cyanophycota,2,10169,9.785258143,99506.29006,0.995062901
7,ILLI6,Calothrix fusca,CALOfusc,Bacteria,Cyanophycota,12,10169,445.6222065,4531532.218,45.31532218
2,LLEE1,Calothrix fusca,CALOfusc,Bacteria,Cyanophycota,475,10169,10163.42485,103351867.3,1033.518673
9,SPRG2,Calothrix fusca,CALOfusc,Bacteria,Cyanophycota,80,10169,1236.853484,12577563.08,125.7756308
9,BARR3,Calothrix fusca,CALOfusc,Bacteria,Cyanophycota,189,10169,1701.620089,17303774.68,173.0377468
9,SPAV2,Calothrix fusca,CALOfusc,Bacteria,Cyanophycota,4,10169,23.24437431,236372.0423,2.363720423
2,OSAG1,Calothrix fusca,CALOfusc,Bacteria,Cyanophycota,10,10169,65.5389345,666465.425,6.66465425
9,SPAV1,Calothrix fusca,CALOfusc,Bacteria,Cyanophycota,29,10169,327.3065933,3328380.747,33.28380747
9,SAGE1,Calothrix fusca,CALOfusc,Bacteria,Cyanophycota,1,10169,15.08133795,153362.1256,1.533621256
2,MTFK1,Calothrix fusca,CALOfusc,Bacteria,Cyanophycota,1591,10169,27266.3427,277271439,2772.71439
2,LSAL1,Calothrix fusca,CALOfusc,Bacteria,Cyanophycota,77,10169,1678.847258,17072197.77,170.7219777
2,SALI1,Calothrix fusca,CALOfusc,Bacteria,Cyanophycota,304,10169,6466.769909,65760583.2,657.605832
2,OSAG2,Calothrix fusca,CALOfusc,Bacteria,Cyanophycota,14,10169,171.7525963,1746552.152,17.46552152
2,CANE1,Calothrix fusca,CALOfusc,Bacteria,Cyanophycota,270,10169,6560.581097,66714549.17,667.1454917
2,ILLI3,Calothrix fusca,CALOfusc,Bacteria,Cyanophycota,60,10169,406.9158319,4137927.095,41.37927095
5,SPAV2,Calothrix fusca,CALOfusc,Bacteria,Cyanophycota,7,10169,60.29957394,613186.3674,6.131863674
5,SPRG2,Calothrix fusca,CALOfusc,Bacteria,Cyanophycota,270,10169,8483.902054,86272799.99,862.7279999
5,SPRG3,Calothrix fusca,CALOfusc,Bacteria,Cyanophycota,132,10169,5811.91822,59101396.38,591.0139638
2,BARR2,Calothrix fusca,CALOfusc,Bacteria,Cyanophycota,272,10169,8341.494424,84824656.8,848.246568
2,BARR3,Calothrix fusca,CALOfusc,Bacteria,Cyanophycota,423,10169,4473.27704,45488754.22,454.8875422
